Grapheme	GraphFrequency	WordFrequency	Difference
(	37	37	0
)	40	40	0
*	105	105	0
,	79622	79622	0
.	43018	43018	0
၊	5	5	0
‘	1	1	0
’	1	1	0
-	1179	1176	3
၆	8	1	7
၃	11	2	9
၈	11	2	9
၄	15	1	14
င	39	1	38
ခ	1003	1	1002
ဝ	1384	1	1383
ရ	2109	1	2108
ထ	3020	1	3019
ၡ	3280	1	3279
ဟ	4332	6	4326
ဃ	5111	1	5110
ဆ	5860	1	5859
ည	5974	1	5973
ဂ	8379	1	8378
စ	11490	3	11487
ဖ	14254	1	14253
ဒ	14447	1	14446
ပ	18912	14	18898
န	23675	34	23641
သ	24216	3	24213
ယ	25356	60	25296
မ	25362	1	25361
ဘ	34771	1	34770
က	49905	41	49864
လ	79175	1	79174
တ	104176	38	104138
အ	119513	77	119436
