Grapheme	GraphFrequency	WordFrequency	Difference
!	531	531	0
(	62	62	0
)	62	62	0
*	1772	1772	0
.	10008	10008	0
:	175	175	0
;	149	149	0
?	1028	1028	0
[	9	9	0
]	9	9	0
—	16	16	0
‘	418	418	0
’	415	415	0
“	2194	2194	0
”	1861	1861	0
…	3	3	0
,	12829	12828	1
