Grapheme	GraphFrequency	WordFrequency	Difference
!	1806	1806	0
(	978	978	0
)	978	978	0
,	38991	38991	0
:	8734	8734	0
1	425	1	424
.	38551	38031	520
I	4526	1300	3226
L	3817	1	3816
A	11347	288	11059
y	29186	1	29185
s	77406	2	77404
k	105698	1	105697
i	133667	3313	130354
m	137190	1	137189
d	165158	1	165157
ə	182538	1	182537
g	210496	1	210495
e	332913	1	332912
a	362009	10864	351145
