Grapheme	GraphFrequency	WordFrequency	Difference
(	47	47	0
)	47	47	0
[	24	24	0
]	24	24	0
’	399	399	0
:	184	183	1
?	965	964	1
!	744	742	2
;	494	492	2
‘	400	397	3
”	1914	1911	3
“	2306	2284	22
,	13192	13152	40
.	11548	11446	102
A	4811	3	4808
a	119120	2528	116592
