Grapheme	Frequency	Codepoint	UnicodeName
فِ	7	U+0641, U+0650	ARABIC LETTER FEH, ARABIC KASRA
ق	4767	U+0642	ARABIC LETTER QAF
قَ	55	U+0642, U+064E	ARABIC LETTER QAF, ARABIC FATHA
قُ	3	U+0642, U+064F	ARABIC LETTER QAF, ARABIC DAMMA
قِ	2	U+0642, U+0650	ARABIC LETTER QAF, ARABIC KASRA
ک	49977	U+06A9	ARABIC LETTER KEHEH
کُ	54	U+06A9, U+064F	ARABIC LETTER KEHEH, ARABIC DAMMA
کِ	24	U+06A9, U+0650	ARABIC LETTER KEHEH, ARABIC KASRA
کّ	7	U+06A9, U+0651	ARABIC LETTER KEHEH, ARABIC SHADDA
گ	10428	U+06AF	ARABIC LETTER GAF
گُ	28	U+06AF, U+064F	ARABIC LETTER GAF, ARABIC DAMMA
گِ	6	U+06AF, U+0650	ARABIC LETTER GAF, ARABIC KASRA
ل	22150	U+0644	ARABIC LETTER LAM
لَ	2	U+0644, U+064E	ARABIC LETTER LAM, ARABIC FATHA
لُ	43	U+0644, U+064F	ARABIC LETTER LAM, ARABIC DAMMA
لُّ	1	U+0644, U+064F, U+0651	ARABIC LETTER LAM, ARABIC DAMMA, ARABIC SHADDA
لِ	101	U+0644, U+0650	ARABIC LETTER LAM, ARABIC KASRA
لّ	53	U+0644, U+0651	ARABIC LETTER LAM, ARABIC SHADDA
لٰ	57	U+0644, U+0670	ARABIC LETTER LAM, ARABIC LETTER SUPERSCRIPT ALEF
م	26416	U+0645	ARABIC LETTER MEEM
مَ	1992	U+0645, U+064E	ARABIC LETTER MEEM, ARABIC FATHA
مُ	669	U+0645, U+064F	ARABIC LETTER MEEM, ARABIC DAMMA
مِ	204	U+0645, U+0650	ARABIC LETTER MEEM, ARABIC KASRA
مّ	10	U+0645, U+0651	ARABIC LETTER MEEM, ARABIC SHADDA
مٰ	1	U+0645, U+0670	ARABIC LETTER MEEM, ARABIC LETTER SUPERSCRIPT ALEF
ن	36354	U+0646	ARABIC LETTER NOON
نُ	1	U+0646, U+064F	ARABIC LETTER NOON, ARABIC DAMMA
نِ	108	U+0646, U+0650	ARABIC LETTER NOON, ARABIC KASRA
نّ	9	U+0646, U+0651	ARABIC LETTER NOON, ARABIC SHADDA
ں	22414	U+06BA	ARABIC LETTER NOON GHUNNA
ھ	16558	U+06BE	ARABIC LETTER HEH DOACHASHMEE
ہ	46840	U+06C1	ARABIC LETTER HEH GOAL
ہً	1	U+06C1, U+064B	ARABIC LETTER HEH GOAL, ARABIC FATHATAN
ہَ	37	U+06C1, U+064E	ARABIC LETTER HEH GOAL, ARABIC FATHA
ہِ	1	U+06C1, U+0650	ARABIC LETTER HEH GOAL, ARABIC KASRA
ۂ	10	U+06C2	ARABIC LETTER HEH GOAL WITH HAMZA ABOVE
ہٰ	8	U+06C1, U+0670	ARABIC LETTER HEH GOAL, ARABIC LETTER SUPERSCRIPT ALEF
و	46397	U+0648	ARABIC LETTER WAW
وَ	2	U+0648, U+064E	ARABIC LETTER WAW, ARABIC FATHA
وُ	1	U+0648, U+064F	ARABIC LETTER WAW, ARABIC DAMMA
وِ	7	U+0648, U+0650	ARABIC LETTER WAW, ARABIC KASRA
وّ	68	U+0648, U+0651	ARABIC LETTER WAW, ARABIC SHADDA
ی	66069	U+06CC	ARABIC LETTER FARSI YEH
یُ	87	U+06CC, U+064F	ARABIC LETTER FARSI YEH, ARABIC DAMMA
یِ	2	U+06CC, U+0650	ARABIC LETTER FARSI YEH, ARABIC KASRA
یّ	2	U+06CC, U+0651	ARABIC LETTER FARSI YEH, ARABIC SHADDA
یٰ	1763	U+06CC, U+0670	ARABIC LETTER FARSI YEH, ARABIC LETTER SUPERSCRIPT ALEF
ے	45436	U+06D2	ARABIC LETTER YEH BARREE
