Grapheme	Frequency	Codepoint	UnicodeName
คื	597	U+0E04, U+0E37	THAI CHARACTER KHO KHWAI, THAI CHARACTER SARA UEE
คุ	3340	U+0E04, U+0E38	THAI CHARACTER KHO KHWAI, THAI CHARACTER SARA U
คุ้	17	U+0E04, U+0E38, U+0E49	THAI CHARACTER KHO KHWAI, THAI CHARACTER SARA U, THAI CHARACTER MAI THO
คู	6	U+0E04, U+0E39	THAI CHARACTER KHO KHWAI, THAI CHARACTER SARA UU
คู่	14	U+0E04, U+0E39, U+0E48	THAI CHARACTER KHO KHWAI, THAI CHARACTER SARA UU, THAI CHARACTER MAI EK
ฆ	34	U+0E06	THAI CHARACTER KHO RAKHANG
ฆ่	194	U+0E06, U+0E48	THAI CHARACTER KHO RAKHANG, THAI CHARACTER MAI EK
ฆ้	1	U+0E06, U+0E49	THAI CHARACTER KHO RAKHANG, THAI CHARACTER MAI THO
ฆี่	26	U+0E06, U+0E35, U+0E48	THAI CHARACTER KHO RAKHANG, THAI CHARACTER SARA II, THAI CHARACTER MAI EK
ง	33201	U+0E07	THAI CHARACTER NGO NGU
ง่	103	U+0E07, U+0E48	THAI CHARACTER NGO NGU, THAI CHARACTER MAI EK
ง้	2	U+0E07, U+0E49	THAI CHARACTER NGO NGU, THAI CHARACTER MAI THO
งั	3	U+0E07, U+0E31	THAI CHARACTER NGO NGU, THAI CHARACTER MAI HAN-AKAT
งั้	10	U+0E07, U+0E31, U+0E49	THAI CHARACTER NGO NGU, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI THO
งำ	7	U+0E07, U+0E33	THAI CHARACTER NGO NGU, THAI CHARACTER SARA AM
งิ	167	U+0E07, U+0E34	THAI CHARACTER NGO NGU, THAI CHARACTER SARA I
งี	28	U+0E07, U+0E35	THAI CHARACTER NGO NGU, THAI CHARACTER SARA II
งี่	1	U+0E07, U+0E35, U+0E48	THAI CHARACTER NGO NGU, THAI CHARACTER SARA II, THAI CHARACTER MAI EK
งื่	3	U+0E07, U+0E37, U+0E48	THAI CHARACTER NGO NGU, THAI CHARACTER SARA UEE, THAI CHARACTER MAI EK
งื้	1	U+0E07, U+0E37, U+0E49	THAI CHARACTER NGO NGU, THAI CHARACTER SARA UEE, THAI CHARACTER MAI THO
งุ	5	U+0E07, U+0E38	THAI CHARACTER NGO NGU, THAI CHARACTER SARA U
งุ่	98	U+0E07, U+0E38, U+0E48	THAI CHARACTER NGO NGU, THAI CHARACTER SARA U, THAI CHARACTER MAI EK
งู	16	U+0E07, U+0E39	THAI CHARACTER NGO NGU, THAI CHARACTER SARA UU
จ	10068	U+0E08	THAI CHARACTER CHO CHAN
จ็	168	U+0E08, U+0E47	THAI CHARACTER CHO CHAN, THAI CHARACTER MAITAIKHU
จ่	51	U+0E08, U+0E48	THAI CHARACTER CHO CHAN, THAI CHARACTER MAI EK
จ้	3991	U+0E08, U+0E49	THAI CHARACTER CHO CHAN, THAI CHARACTER MAI THO
จ๋	2	U+0E08, U+0E4B	THAI CHARACTER CHO CHAN, THAI CHARACTER MAI CHATTAWA
จั	612	U+0E08, U+0E31	THAI CHARACTER CHO CHAN, THAI CHARACTER MAI HAN-AKAT
จั่	2	U+0E08, U+0E31, U+0E48	THAI CHARACTER CHO CHAN, THAI CHARACTER MAI HAN-AKAT, THAI CHARACTER MAI EK
จำ	210	U+0E08, U+0E33	THAI CHARACTER CHO CHAN, THAI CHARACTER SARA AM
จิ	120	U+0E08, U+0E34	THAI CHARACTER CHO CHAN, THAI CHARACTER SARA I
จิ้	4	U+0E08, U+0E34, U+0E49	THAI CHARACTER CHO CHAN, THAI CHARACTER SARA I, THAI CHARACTER MAI THO
จี	11	U+0E08, U+0E35	THAI CHARACTER CHO CHAN, THAI CHARACTER SARA II
