Grapheme	GraphFrequency	WordFrequency	Difference
!	586	586	0
(	336	336	0
.	33482	33482	0
:	2965	2965	0
;	15668	15668	0
?	3328	3328	0
‘	5	5	0
’	4	4	0
“	1313	1313	0
”	1315	1315	0
)	333	332	1
c	24	2	22
'	60	1	59
,	74847	74781	66
O	1166	140	1026
E	4717	483	4234
A	8456	2824	5632
-	13061	17	13044
I	20978	8	20970
g	43250	7	43243
l	65918	12	65906
h	126534	3	126531
b	129921	2	129919
d	161264	1	161263
o	196138	3522	192616
u	201768	2	201766
e	310711	44447	266264
n	268708	2	268706
i	386074	6	386068
a	899586	5040	894546
