Grapheme	GraphFrequency	WordFrequency	Difference
!	600	600	0
(	14	14	0
)	14	14	0
.	7927	7927	0
:	2043	2043	0
[	29	29	0
]	29	29	0
«	2157	2157	0
،	11199	11199	0
؛	694	694	0
؟	997	997	0
‘	1	1	0
’	1	1	0
“	376	376	0
…	4	4	0
-	105	104	1
»	1921	1906	15
”	392	347	45
و	36465	8044	28421
ی	49724	3	49721
‌	NA	93	NA
