Grapheme	Frequency	Codepoint	UnicodeName
ချိ	2	U+1001, U+103B, U+102D	MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN I
ချီ	36	U+1001, U+103B, U+102E	MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN II
ချု	284	U+1001, U+103B, U+102F	MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN U
ချူ	1	U+1001, U+103B, U+1030	MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN UU
ချဲ	11	U+1001, U+103B, U+1032	MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN AI
ခြ	2	U+1001, U+103C	MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL RA
ခွ	4077	U+1001, U+103D	MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL WA
ခွံ	118	U+1001, U+103D, U+1036	MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR SIGN ANUSVARA
ခွီ	1	U+1001, U+103D, U+102E	MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR VOWEL SIGN II
ခွဲ	25	U+1001, U+103D, U+1032	MYANMAR LETTER KHA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR VOWEL SIGN AI
ခိ	7616	U+1001, U+102D	MYANMAR LETTER KHA, MYANMAR VOWEL SIGN I
ခီ	3880	U+1001, U+102E	MYANMAR LETTER KHA, MYANMAR VOWEL SIGN II
ခု	926	U+1001, U+102F	MYANMAR LETTER KHA, MYANMAR VOWEL SIGN U
ခူ	632	U+1001, U+1030	MYANMAR LETTER KHA, MYANMAR VOWEL SIGN UU
ခဲ	4637	U+1001, U+1032	MYANMAR LETTER KHA, MYANMAR VOWEL SIGN AI
ဂ	8379	U+1002	MYANMAR LETTER GA
ဂံ	774	U+1002, U+1036	MYANMAR LETTER GA, MYANMAR SIGN ANUSVARA
ဂ့	10823	U+1002, U+1037	MYANMAR LETTER GA, MYANMAR SIGN DOT BELOW
ဂိ	112	U+1002, U+102D	MYANMAR LETTER GA, MYANMAR VOWEL SIGN I
ဂီ	9454	U+1002, U+102E	MYANMAR LETTER GA, MYANMAR VOWEL SIGN II
ဂု	395	U+1002, U+102F	MYANMAR LETTER GA, MYANMAR VOWEL SIGN U
ဂူ	81	U+1002, U+1030	MYANMAR LETTER GA, MYANMAR VOWEL SIGN UU
ဂဲ	1033	U+1002, U+1032	MYANMAR LETTER GA, MYANMAR VOWEL SIGN AI
ဃ	5111	U+1003	MYANMAR LETTER GHA
ဃံ	1087	U+1003, U+1036	MYANMAR LETTER GHA, MYANMAR SIGN ANUSVARA
ဃ့	1620	U+1003, U+1037	MYANMAR LETTER GHA, MYANMAR SIGN DOT BELOW
ဃိ	2694	U+1003, U+102D	MYANMAR LETTER GHA, MYANMAR VOWEL SIGN I
ဃီ	1384	U+1003, U+102E	MYANMAR LETTER GHA, MYANMAR VOWEL SIGN II
ဃု	1516	U+1003, U+102F	MYANMAR LETTER GHA, MYANMAR VOWEL SIGN U
ဃူ	456	U+1003, U+1030	MYANMAR LETTER GHA, MYANMAR VOWEL SIGN UU
ဃဲ	228	U+1003, U+1032	MYANMAR LETTER GHA, MYANMAR VOWEL SIGN AI
င	39	U+1004	MYANMAR LETTER NGA
စ	11490	U+1005	MYANMAR LETTER CA
စံ	11843	U+1005, U+1036	MYANMAR LETTER CA, MYANMAR SIGN ANUSVARA
စ့	2529	U+1005, U+1037	MYANMAR LETTER CA, MYANMAR SIGN DOT BELOW
စြ	28	U+1005, U+103C	MYANMAR LETTER CA, MYANMAR CONSONANT SIGN MEDIAL RA
စွ	100	U+1005, U+103D	MYANMAR LETTER CA, MYANMAR CONSONANT SIGN MEDIAL WA
စွဲ	8	U+1005, U+103D, U+1032	MYANMAR LETTER CA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR VOWEL SIGN AI
စှ	174	U+1005, U+103E	MYANMAR LETTER CA, MYANMAR CONSONANT SIGN MEDIAL HA
စှံ	17	U+1005, U+103E, U+1036	MYANMAR LETTER CA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR SIGN ANUSVARA
စှိ	1	U+1005, U+103E, U+102D	MYANMAR LETTER CA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN I
စှီ	9	U+1005, U+103E, U+102E	MYANMAR LETTER CA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN II
စိ	3238	U+1005, U+102D	MYANMAR LETTER CA, MYANMAR VOWEL SIGN I
စီ	20005	U+1005, U+102E	MYANMAR LETTER CA, MYANMAR VOWEL SIGN II
စု	3516	U+1005, U+102F	MYANMAR LETTER CA, MYANMAR VOWEL SIGN U
စူ	885	U+1005, U+1030	MYANMAR LETTER CA, MYANMAR VOWEL SIGN UU
စဲ	656	U+1005, U+1032	MYANMAR LETTER CA, MYANMAR VOWEL SIGN AI
စ်	1	U+1005, U+103A	MYANMAR LETTER CA, MYANMAR SIGN ASAT
ဆ	5860	U+1006	MYANMAR LETTER CHA
ဆံ	2203	U+1006, U+1036	MYANMAR LETTER CHA, MYANMAR SIGN ANUSVARA
ဆ့	985	U+1006, U+1037	MYANMAR LETTER CHA, MYANMAR SIGN DOT BELOW
ဆျဲ	2	U+1006, U+103B, U+1032	MYANMAR LETTER CHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN AI
ဆွံ	9	U+1006, U+103D, U+1036	MYANMAR LETTER CHA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR SIGN ANUSVARA
ဆှ	654	U+1006, U+103E	MYANMAR LETTER CHA, MYANMAR CONSONANT SIGN MEDIAL HA
ဆှံ	1170	U+1006, U+103E, U+1036	MYANMAR LETTER CHA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR SIGN ANUSVARA
ဆှ့	3	U+1006, U+103E, U+1037	MYANMAR LETTER CHA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR SIGN DOT BELOW
ဆှိ	151	U+1006, U+103E, U+102D	MYANMAR LETTER CHA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN I
ဆှီ	569	U+1006, U+103E, U+102E	MYANMAR LETTER CHA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN II
ဆှု	157	U+1006, U+103E, U+102F	MYANMAR LETTER CHA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN U
ဆှဲ	89	U+1006, U+103E, U+1032	MYANMAR LETTER CHA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN AI
ဆိ	3194	U+1006, U+102D	MYANMAR LETTER CHA, MYANMAR VOWEL SIGN I
ဆီ	304	U+1006, U+102E	MYANMAR LETTER CHA, MYANMAR VOWEL SIGN II
ဆု	32	U+1006, U+102F	MYANMAR LETTER CHA, MYANMAR VOWEL SIGN U
ဆူ	6699	U+1006, U+1030	MYANMAR LETTER CHA, MYANMAR VOWEL SIGN UU
ဆဲ	437	U+1006, U+1032	MYANMAR LETTER CHA, MYANMAR VOWEL SIGN AI
ဇှ	1	U+1007, U+103E	MYANMAR LETTER JA, MYANMAR CONSONANT SIGN MEDIAL HA
ၡ	3280	U+1061	MYANMAR LETTER SGAW KAREN SHA
ၡံ	448	U+1061, U+1036	MYANMAR LETTER SGAW KAREN SHA, MYANMAR SIGN ANUSVARA
ၡိ	144	U+1061, U+102D	MYANMAR LETTER SGAW KAREN SHA, MYANMAR VOWEL SIGN I
ၡီ	101	U+1061, U+102E	MYANMAR LETTER SGAW KAREN SHA, MYANMAR VOWEL SIGN II
ၡဲ	149	U+1061, U+1032	MYANMAR LETTER SGAW KAREN SHA, MYANMAR VOWEL SIGN AI
ည	5974	U+100A	MYANMAR LETTER NNYA
ညွံ	20	U+100A, U+103D, U+1036	MYANMAR LETTER NNYA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR SIGN ANUSVARA
ညိ	157	U+100A, U+102D	MYANMAR LETTER NNYA, MYANMAR VOWEL SIGN I
ညီ	3218	U+100A, U+102E	MYANMAR LETTER NNYA, MYANMAR VOWEL SIGN II
ညူ	1	U+100A, U+1030	MYANMAR LETTER NNYA, MYANMAR VOWEL SIGN UU
တ	104176	U+1010	MYANMAR LETTER TA
တံ	777	U+1010, U+1036	MYANMAR LETTER TA, MYANMAR SIGN ANUSVARA
တ့	1795	U+1010, U+1037	MYANMAR LETTER TA, MYANMAR SIGN DOT BELOW
တြ	569	U+1010, U+103C	MYANMAR LETTER TA, MYANMAR CONSONANT SIGN MEDIAL RA
တြံ	7	U+1010, U+103C, U+1036	MYANMAR LETTER TA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR SIGN ANUSVARA
တြ့	8	U+1010, U+103C, U+1037	MYANMAR LETTER TA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR SIGN DOT BELOW
တြိ	130	U+1010, U+103C, U+102D	MYANMAR LETTER TA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN I
တြီ	205	U+1010, U+103C, U+102E	MYANMAR LETTER TA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN II
တြု	12	U+1010, U+103C, U+102F	MYANMAR LETTER TA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN U
တြူ	85	U+1010, U+103C, U+1030	MYANMAR LETTER TA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN UU
တြဲ	167	U+1010, U+103C, U+1032	MYANMAR LETTER TA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN AI
တွ	12	U+1010, U+103D	MYANMAR LETTER TA, MYANMAR CONSONANT SIGN MEDIAL WA
တွံ	9	U+1010, U+103D, U+1036	MYANMAR LETTER TA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR SIGN ANUSVARA
တိ	3859	U+1010, U+102D	MYANMAR LETTER TA, MYANMAR VOWEL SIGN I
တီ	3851	U+1010, U+102E	MYANMAR LETTER TA, MYANMAR VOWEL SIGN II
တု	3451	U+1010, U+102F	MYANMAR LETTER TA, MYANMAR VOWEL SIGN U
တူ	1283	U+1010, U+1030	MYANMAR LETTER TA, MYANMAR VOWEL SIGN UU
တဲ	2620	U+1010, U+1032	MYANMAR LETTER TA, MYANMAR VOWEL SIGN AI
ထ	3020	U+1011	MYANMAR LETTER THA
ထံ	5586	U+1011, U+1036	MYANMAR LETTER THA, MYANMAR SIGN ANUSVARA
ထ့	18	U+1011, U+1037	MYANMAR LETTER THA, MYANMAR SIGN DOT BELOW
ထွ	10	U+1011, U+103D	MYANMAR LETTER THA, MYANMAR CONSONANT SIGN MEDIAL WA
ထွံ	86	U+1011, U+103D, U+1036	MYANMAR LETTER THA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR SIGN ANUSVARA
ထွဲ	310	U+1011, U+103D, U+1032	MYANMAR LETTER THA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR VOWEL SIGN AI
ထိ	1391	U+1011, U+102D	MYANMAR LETTER THA, MYANMAR VOWEL SIGN I
ထီ	16173	U+1011, U+102E	MYANMAR LETTER THA, MYANMAR VOWEL SIGN II
ထု	569	U+1011, U+102F	MYANMAR LETTER THA, MYANMAR VOWEL SIGN U
ထူ	1723	U+1011, U+1030	MYANMAR LETTER THA, MYANMAR VOWEL SIGN UU
ထဲ	568	U+1011, U+1032	MYANMAR LETTER THA, MYANMAR VOWEL SIGN AI
ဒ	14447	U+1012	MYANMAR LETTER DA
ဒံ	1363	U+1012, U+1036	MYANMAR LETTER DA, MYANMAR SIGN ANUSVARA
ဒ့	863	U+1012, U+1037	MYANMAR LETTER DA, MYANMAR SIGN DOT BELOW
ဒြ	12	U+1012, U+103C	MYANMAR LETTER DA, MYANMAR CONSONANT SIGN MEDIAL RA
ဒြံ	8	U+1012, U+103C, U+1036	MYANMAR LETTER DA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR SIGN ANUSVARA
ဒြ့	2	U+1012, U+103C, U+1037	MYANMAR LETTER DA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR SIGN DOT BELOW
ဒြိ	12	U+1012, U+103C, U+102D	MYANMAR LETTER DA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN I
ဒြူ	8	U+1012, U+103C, U+1030	MYANMAR LETTER DA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN UU
ဒွ	10	U+1012, U+103D	MYANMAR LETTER DA, MYANMAR CONSONANT SIGN MEDIAL WA
ဒွံ	58	U+1012, U+103D, U+1036	MYANMAR LETTER DA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR SIGN ANUSVARA
ဒွဲ	329	U+1012, U+103D, U+1032	MYANMAR LETTER DA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR VOWEL SIGN AI
ဒိ	6118	U+1012, U+102D	MYANMAR LETTER DA, MYANMAR VOWEL SIGN I
ဒီ	77324	U+1012, U+102E	MYANMAR LETTER DA, MYANMAR VOWEL SIGN II
ဒု	5410	U+1012, U+102F	MYANMAR LETTER DA, MYANMAR VOWEL SIGN U
ဒူ	1205	U+1012, U+1030	MYANMAR LETTER DA, MYANMAR VOWEL SIGN UU
ဒဲ	2290	U+1012, U+1032	MYANMAR LETTER DA, MYANMAR VOWEL SIGN AI
ဒ်	15122	U+1012, U+103A	MYANMAR LETTER DA, MYANMAR SIGN ASAT
ဒ်ံ	1	U+1012, U+103A, U+1036	MYANMAR LETTER DA, MYANMAR SIGN ASAT, MYANMAR SIGN ANUSVARA
ဓ	2	U+1013	MYANMAR LETTER DHA
ဓီ	1	U+1013, U+102E	MYANMAR LETTER DHA, MYANMAR VOWEL SIGN II
န	23675	U+1014	MYANMAR LETTER NA
နံ	5637	U+1014, U+1036	MYANMAR LETTER NA, MYANMAR SIGN ANUSVARA
န့	31495	U+1014, U+1037	MYANMAR LETTER NA, MYANMAR SIGN DOT BELOW
နွံ	736	U+1014, U+103D, U+1036	MYANMAR LETTER NA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR SIGN ANUSVARA
နွဲ	6	U+1014, U+103D, U+1032	MYANMAR LETTER NA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR VOWEL SIGN AI
နိ	525	U+1014, U+102D	MYANMAR LETTER NA, MYANMAR VOWEL SIGN I
နီ	5019	U+1014, U+102E	MYANMAR LETTER NA, MYANMAR VOWEL SIGN II
နု	2617	U+1014, U+102F	MYANMAR LETTER NA, MYANMAR VOWEL SIGN U
နူ	218	U+1014, U+1030	MYANMAR LETTER NA, MYANMAR VOWEL SIGN UU
နဲ	1029	U+1014, U+1032	MYANMAR LETTER NA, MYANMAR VOWEL SIGN AI
ပ	18912	U+1015	MYANMAR LETTER PA
ပံ	753	U+1015, U+1036	MYANMAR LETTER PA, MYANMAR SIGN ANUSVARA
ပ့	395	U+1015, U+1037	MYANMAR LETTER PA, MYANMAR SIGN DOT BELOW
ပျ	967	U+1015, U+103B	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL YA
ပျံ	1029	U+1015, U+103B, U+1036	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR SIGN ANUSVARA
ပျ့	140	U+1015, U+103B, U+1037	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR SIGN DOT BELOW
ပျိ	11	U+1015, U+103B, U+102D	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN I
ပျီ	215	U+1015, U+103B, U+102E	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN II
ပျု	200	U+1015, U+103B, U+102F	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN U
ပျူ	16	U+1015, U+103B, U+1030	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN UU
ပျဲ	345	U+1015, U+103B, U+1032	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN AI
ပြ	131	U+1015, U+103C	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL RA
ပြံ	133	U+1015, U+103C, U+1036	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR SIGN ANUSVARA
ပြိ	1	U+1015, U+103C, U+102D	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN I
ပြီ	27	U+1015, U+103C, U+102E	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN II
ပြု	30	U+1015, U+103C, U+102F	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN U
ပြူ	14	U+1015, U+103C, U+1030	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN UU
ပၠ	4	U+1015, U+1060	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MON MEDIAL LA
ပွ့	10	U+1015, U+103D, U+1037	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR SIGN DOT BELOW
ပွဲ	3	U+1015, U+103D, U+1032	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL WA, MYANMAR VOWEL SIGN AI
ပှ	30345	U+1015, U+103E	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL HA
ပှံ	112	U+1015, U+103E, U+1036	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR SIGN ANUSVARA
ပှ့	527	U+1015, U+103E, U+1037	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR SIGN DOT BELOW
ပှိ	26	U+1015, U+103E, U+102D	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN I
ပှီ	234	U+1015, U+103E, U+102E	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN II
ပှဲ	1105	U+1015, U+103E, U+1032	MYANMAR LETTER PA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN AI
ပိ	1821	U+1015, U+102D	MYANMAR LETTER PA, MYANMAR VOWEL SIGN I
ပီ	1828	U+1015, U+102E	MYANMAR LETTER PA, MYANMAR VOWEL SIGN II
ပု	1075	U+1015, U+102F	MYANMAR LETTER PA, MYANMAR VOWEL SIGN U
ပူ	12055	U+1015, U+1030	MYANMAR LETTER PA, MYANMAR VOWEL SIGN UU
ပဲ	425	U+1015, U+1032	MYANMAR LETTER PA, MYANMAR VOWEL SIGN AI
ဖ	14254	U+1016	MYANMAR LETTER PHA
ဖံ	1148	U+1016, U+1036	MYANMAR LETTER PHA, MYANMAR SIGN ANUSVARA
ဖ့	215	U+1016, U+1037	MYANMAR LETTER PHA, MYANMAR SIGN DOT BELOW
ဖျ	1648	U+1016, U+103B	MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MEDIAL YA
ဖျ့	13	U+1016, U+103B, U+1037	MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR SIGN DOT BELOW
ဖျှီ	1	U+1016, U+103B, U+103E, U+102E	MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR VOWEL SIGN II
ဖျိ	298	U+1016, U+103B, U+102D	MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN I
ဖျီ	45	U+1016, U+103B, U+102E	MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN II
ဖျု	3	U+1016, U+103B, U+102F	MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN U
ဖျဲ	972	U+1016, U+103B, U+1032	MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MEDIAL YA, MYANMAR VOWEL SIGN AI
ဖြ	13	U+1016, U+103C	MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MEDIAL RA
ဖြူ	3	U+1016, U+103C, U+1030	MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MEDIAL RA, MYANMAR VOWEL SIGN UU
ဖၠ	24	U+1016, U+1060	MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MON MEDIAL LA
ဖွ	1	U+1016, U+103D	MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MEDIAL WA
ဖှ	38	U+1016, U+103E	MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MEDIAL HA
ဖှံ	420	U+1016, U+103E, U+1036	MYANMAR LETTER PHA, MYANMAR CONSONANT SIGN MEDIAL HA, MYANMAR SIGN ANUSVARA
