Grapheme	GraphFrequency	WordFrequency	Difference
!	1111	1111	0
(	112	112	0
)	112	112	0
,	11766	11766	0
.	7217	7217	0
:	2573	2573	0
;	1290	1290	0
?	1311	1311	0
[	5	5	0
]	5	5	0
`	4	4	0
«	285	285	0
»	280	280	0
—	23	23	0
+	65	43	22
N	426	2	424
'	450	2	448
U	587	1	586
D	912	311	601
Y	1105	1	1104
L	1538	2	1536
I	1658	38	1620
A	2640	500	2140
S	4142	166	3976
c	6484	1	6483
ț	10479	7	10472
ṛ	10752	1	10751
ɣ	13800	11	13789
w	18686	2	18684
k	18828	8	18820
y	21098	1	21097
r	23338	1	23337
u	23436	10	23426
t	24103	15	24088
-	25309	47	25262
s	30986	2399	28587
m	30075	1	30074
l	31145	3	31142
d	39932	5030	34902
n	67840	7415	60425
i	69048	6515	62533
a	89182	2654	86528
