Grapheme	GraphFrequency	WordFrequency	Difference
!	173	173	0
(	31	31	0
)	31	31	0
,	17853	17853	0
.	9075	9075	0
:	78	78	0
;	30	30	0
?	723	723	0
‘	278	278	0
’	328	328	0
“	2471	2471	0
”	2012	2012	0
'	62229	2	62227
