Grapheme	GraphFrequency	WordFrequency	Difference
!	2424	2424	0
(	5	5	0
)	5	5	0
.	11536	11536	0
:	470	470	0
;	1	1	0
?	964	964	0
‘	1359	1359	0
’	1359	1359	0
“	4382	4382	0
”	4383	4383	0
8	4	1	3
3	13	1	12
6	15	1	14
5	25	1	24
U	29	3	26
,	5880	5837	43
O	400	108	292
I	509	84	425
A	1846	3	1843
K	2077	2	2075
E	5119	28	5091
u	62395	845	61550
e	118464	115	118349
i	155415	5303	150112
a	185135	131	185004
