Grapheme	GraphFrequency	WordFrequency	Difference
!	1413	1413	0
(	72	72	0
)	72	72	0
,	14874	14874	0
:	914	914	0
;	80	80	0
?	764	764	0
‘	405	405	0
’	400	400	0
“	2177	2177	0
”	2171	2171	0
.	13547	13529	18
O	527	12	515
e	100050	41	100009
