Grapheme	GraphFrequency	WordFrequency	Difference
!	2017	2017	0
(	12	12	0
)	13	13	0
,	41014	41014	0
.	33287	33287	0
:	6873	6873	0
;	140	140	0
?	2507	2507	0
[	1	1	0
]	1	1	0
«	2627	2627	0
»	2626	2626	0
—	8168	8168	0
“	376	376	0
„	376	376	0
1	563	1	562
Я	1877	13	1864
О	7304	146	7158
я	9845	85	9760
ә	26755	1	26754
о	50014	25	49989
