Grapheme	GraphFrequency	WordFrequency	Difference
!	976	976	0
'	2	2	0
(	183	183	0
)	183	183	0
,	19057	19057	0
.	7751	7751	0
:	2401	2401	0
;	436	436	0
?	1020	1020	0
[	234	234	0
]	235	235	0
«	1831	1831	0
»	1831	1831	0
—	2075	2075	0
“	410	410	0
„	414	414	0
…	8	8	0
Я	654	641	13
У	313	54	259
-	383	5	378
А	833	405	428
К	1056	30	1026
В	1522	245	1277
М	1420	1	1419
С	1868	57	1811
О	1979	38	1941
И	3450	874	2576
ж	7304	5	7299
я	12486	729	11757
б	11860	26	11834
г	13683	1	13682
к	17424	1005	16419
у	19215	632	18583
в	33127	3368	29759
с	38585	1278	37307
а	48299	767	47532
и	54963	6975	47988
е	59751	1	59750
о	74476	639	73837
