Grapheme	GraphFrequency	WordFrequency	Difference
!	359	359	0
(	37	37	0
)	39	39	0
.	68344	68344	0
?	2926	2926	0
[	17	17	0
]	17	17	0
‘	1852	1852	0
’	1828	1828	0
“	8976	8976	0
”	8794	8794	0
:	305	304	1
9	113	44	69
8	175	45	130
7	353	159	194
6	260	50	210
4	372	34	338
5	366	27	339
3	393	48	345
U	391	8	383
,	118948	118448	500
2	688	87	601
O	743	42	701
1	734	20	714
v	3352	1	3351
ų	4482	1	4481
E	6577	183	6394
A	11207	2	11205
ą	16297	4	16293
ę	20467	1	20466
u	224292	215	224077
o	486292	193	486099
e	513587	3545	510042
i	584301	1111	583190
a	963151	716	962435
