Grapheme	GraphFrequency	WordFrequency	Difference
!	3144	3144	0
(	87	87	0
)	87	87	0
,	55433	55433	0
3	1	1	0
:	7784	7784	0
;	3	3	0
?	2951	2951	0
[	22	22	0
]	22	22	0
“	7	7	0
”	7	7	0
.	39882	39876	6
Ë	374	1	373
O	616	178	438
Y	3505	2	3503
'	15455	11737	3718
N	9997	1	9996
M	11908	1	11907
A	13131	579	12552
ë	21705	1	21704
h	43029	1	43028
t	51845	3	51842
s	68289	1	68288
ñ	82915	1	82914
l	99033	1	99032
y	104430	10	104420
d	133063	2	133061
g	201161	4	201157
n	201784	21	201763
o	289213	29	289184
e	388976	1	388975
a	530340	1442	528898
