Grapheme	GraphFrequency	WordFrequency	Difference
(	14	14	0
)	14	14	0
.	15080	15080	0
:	1	1	0
?	1336	1336	0
‘	115	115	0
’	110	110	0
“	2291	2291	0
”	2157	2157	0
,	20277	20276	1
3	2	1	1
U	218	40	178
I	639	170	469
O	1025	47	978
A	1039	52	987
E	2560	3	2557
y	14371	1	14370
p	19220	1	19219
u	41944	1849	40095
e	74908	659	74249
o	86714	26	86688
i	142315	7095	135220
a	156479	1054	155425
