Grapheme	GraphFrequency	WordFrequency	Difference
!	36	36	0
'	50	50	0
)	10	10	0
,	5328	5328	0
.	7761	7761	0
:	1571	1571	0
;	17	17	0
?	643	643	0
[	11	11	0
]	5	5	0
`	251	251	0
¡	48	48	0
ª	4	4	0
Á	194	194	0
Ý	6	6	0
à	8	8	0
Ž	181	181	0
“	1311	1311	0
”	1321	1321	0
	4	3	1
­	3	1	2
(	18	12	6
8	17	10	7
9	10	3	7
7	85	77	8
6	24	15	9
3	24	12	12
5	29	17	12
4	67	30	37
2	78	11	67
1	111	12	99
O	130	19	111
Â	136	1	135
Ʒ	147	2	145
I	1007	125	882
E	2853	253	2600
-	5351	2	5349
â	33795	2190	31605
o	33715	2	33713
ŋ	40261	1	40260
i	48327	1774	46553
c	51179	2	51177
e	82469	2017	80452
