Grapheme	GraphFrequency	WordFrequency	Difference
!	653	653	0
(	8	8	0
)	8	8	0
,	11657	11657	0
.	8344	8344	0
:	2530	2530	0
;	2883	2883	0
?	1021	1021	0
ò	1	1	0
—	83	83	0
“	30	30	0
”	30	30	0
'	6	3	3
O	411	387	24
E	658	359	299
A	1285	869	416
i	22523	1	22522
o	78281	3578	74703
e	103658	5237	98421
a	120675	11966	108709
