Grapheme	GraphFrequency	WordFrequency	Difference
!	522	522	0
(	79	79	0
)	79	79	0
?	1	1	0
[	11	11	0
]	11	11	0
،	1	1	0
؛	4	4	0
۔	8640	8640	0
‘	2	2	0
’	2	2	0
�	6	1	5
:	12	4	8
-	12	2	10
؟	1012	897	115
ص	962	3	959
O	1394	245	1149
خ	1961	3	1958
ز	2295	2	2293
ق	2427	28	2399
آ	3328	322	3006
ع	3955	784	3171
چ	3241	1	3240
ح	3293	2	3291
گ	7730	1	7729
ج	8616	1	8615
ل	11991	13	11978
د	13012	19	12993
ب	14995	62	14933
ں	18797	6	18791
م	19287	105	19182
ت	20362	8	20354
س	24807	211	24596
ن	30142	154	29988
ر	38006	7	37999
ہ	38877	162	38715
ے	39503	5	39498
ک	43293	2	43291
و	47621	67	47554
ی	52858	24	52834
ا	66796	11	66785
ً	NA	1	NA
ِ	NA	1	NA
ّ	NA	2	NA
