Grapheme	GraphFrequency	WordFrequency	Difference
(	304	304	0
)	304	304	0
-	106	106	0
.	90372	90372	0
[	15	15	0
]	15	15	0
‘	1250	1250	0
’	1200	1200	0
“	6690	6690	0
”	5524	5524	0
5	13	10	3
6	16	13	3
7	24	19	5
8	12	6	6
9	10	4	6
ฌ	7	1	6
4	22	14	8
2	35	19	16
3	35	18	17
1	64	20	44
ฝ	259	1	258
ฉ	1854	1	1853
ฟ	2538	2	2536
ฮ	2705	1	2704
ผ	2851	1	2850
ณ	3181	219	2962
ซ	3822	1	3821
ถ	3828	4	3824
ธ	5746	1	5745
ญ	6378	1	6377
ช	19391	2	19389
โ	20014	83	19931
ท	24831	1	24830
ต	28864	2	28862
ป	29231	3	29228
ส	29546	1	29545
ค	34914	22	34892
ด	35842	1	35841
ใ	36225	13	36212
จ	37646	13	37633
ห	41584	15	41569
บ	42362	2	42360
ไ	43554	9	43545
ม	53574	1	53573
ข	54611	5	54606
ย	60334	29	60305
พ	62702	39	62663
น	148556	1	148555
อ	152974	11	152963
ง	158428	1	158427
