Grapheme	GraphFrequency	WordFrequency	Difference
‘	1639	1639	0
《	3	3	0
》	3	3	0
兼	2	2	0
剎	3	3	0
呀	1	1	0
哇	1	1	0
啦	5	5	0
喂	1	1	0
嗐	1	1	0
嗨	3	3	0
噢	1	1	0
尿	2	2	0
幅	35	35	0
弒	1	1	0
捧	6	6	0
掏	1	1	0
樁	1	1	0
殼	1	1	0
氏	1	1	0
湊	2	2	0
湯	7	7	0
溯	1	1	0
犬	2	2	0
盯	1	1	0
瞇	1	1	0
紐	1	1	0
紙	1	1	0
羢	1	1	0
股	6	6	0
艘	7	7	0
蒜	1	1	0
蔥	1	1	0
藤	2	2	0
螫	1	1	0
趟	2	2	0
醃	1	1	0
醋	5	5	0
鑼	2	2	0
鑽	2	2	0
頁	1	1	0
顆	21	21	0
餌	1	1	0
館	1	1	0
鳶	2	2	0
鴇	1	1	0
鷲	1	1	0
！	2984	2984	0
（	2	2	0
）	4	4	0
’	1545	1544	1
刮	12	11	1
叼	2	1	1
哎	6	5	1
壺	2	1	1
嫌	2	1	1
搓	3	2	1
搧	2	1	1
攀	2	1	1
斬	6	5	1
概	4	3	1
炫	2	1	1
炬	2	1	1
筐	4	3	1
綴	3	2	1
綹	2	1	1
胃	3	2	1
軋	2	1	1
釣	5	4	1
鉛	10	9	1
銜	2	1	1
鵰	2	1	1
：	7810	7809	1
—	15	13	2
“	6756	6754	2
”	6004	6002	2
串	3	1	2
併	3	1	2
凸	3	1	2
厄	4	2	2
夙	4	2	2
帆	4	2	2
扁	6	4	2
扛	12	10	2
核	4	2	2
桶	5	3	2
欲	4	2	2
爪	7	5	2
秤	23	21	2
臼	3	1	2
踢	4	2	2
酸	16	14	2
鍍	3	1	2
陪	4	2	2
隼	3	1	2
鸛	4	2	2
黏	4	2	2
？	3340	3338	2
、	5866	5863	3
吊	4	1	3
屢	4	1	3
撚	21	18	3
棒	10	7	3
欄	5	2	3
潑	14	11	3
牴	4	1	3
礦	4	1	3
縛	5	2	3
翼	4	1	3
艇	4	1	3
賢	4	1	3
跛	4	1	3
輸	4	1	3
酷	4	1	3
顎	5	2	3
髓	4	1	3
鷺	4	1	3
刃	10	6	4
剜	5	1	4
墨	9	5	4
夾	5	1	4
尖	7	3	4
捶	5	1	4
槳	5	1	4
浸	7	3	4
爵	5	1	4
猜	5	1	4
球	16	12	4
甩	9	5	4
瞪	5	1	4
竿	9	5	4
篇	8	4	4
篷	5	1	4
簫	5	1	4
賺	15	11	4
赴	13	9	4
錨	5	1	4
鹹	8	4	4
鹼	5	1	4
；	9074	9070	4
亦	11	6	5
冥	6	1	5
卸	10	5	5
哄	6	1	5
循	7	2	5
恃	9	4	5
揪	6	1	5
搗	9	4	5
擱	6	1	5
枕	7	2	5
淤	8	3	5
灑	30	25	5
瞭	8	3	5
碑	6	1	5
組	20	15	5
耍	6	1	5
聘	12	7	5
腮	10	5	5
膳	9	4	5
蠟	6	1	5
訊	6	1	5
誌	33	28	5
豹	8	3	5
份	52	46	6
倖	7	1	6
托	7	1	6
摶	7	1	6
攏	7	1	6
攙	7	1	6
畫	14	8	6
矮	7	1	6
砸	7	1	6
碾	8	2	6
舵	7	1	6
蛋	14	8	6
軸	7	1	6
鈴	9	3	6
閣	8	2	6
闢	7	1	6
鼎	8	2	6
喘	8	1	7
曬	8	1	7
杆	9	2	7
淺	8	1	7
湖	9	2	7
熊	17	10	7
稍	13	6	7
箱	9	2	7
級	21	14	7
縋	9	2	7
闖	14	7	7
霜	8	1	7
鮮	8	1	7
嚼	11	3	8
團	13	5	8
塑	10	2	8
夥	18	10	8
巿	9	1	8
授	11	3	8
痕	9	1	8
租	9	1	8
簽	9	1	8
胡	9	1	8
腎	24	16	8
鈍	9	1	8
頰	11	3	8
冊	19	10	9
句	83	74	9
均	10	1	9
塔	11	2	9
