Grapheme	Frequency	Codepoint	UnicodeName
ع	5046	U+0639	ARABIC LETTER AIN
عُ	3	U+0639, U+064F	ARABIC LETTER AIN, ARABIC DAMMA
غ	674	U+063A	ARABIC LETTER GHAIN
ف	2393	U+0641	ARABIC LETTER FEH
فِ	11	U+0641, U+0650	ARABIC LETTER FEH, ARABIC KASRA
ڦ	264	U+06A6	ARABIC LETTER PEHEH
ڦَ	1	U+06A6, U+064E	ARABIC LETTER PEHEH, ARABIC FATHA
ڦُ	7	U+06A6, U+064F	ARABIC LETTER PEHEH, ARABIC DAMMA
ق	2824	U+0642	ARABIC LETTER QAF
قُ	1	U+0642, U+064F	ARABIC LETTER QAF, ARABIC DAMMA
ک	11137	U+06A9	ARABIC LETTER KEHEH
کُ	14	U+06A9, U+064F	ARABIC LETTER KEHEH, ARABIC DAMMA
کِ	1	U+06A9, U+0650	ARABIC LETTER KEHEH, ARABIC KASRA
ڪ	20692	U+06AA	ARABIC LETTER SWASH KAF
ڪُ	31	U+06AA, U+064F	ARABIC LETTER SWASH KAF, ARABIC DAMMA
ڪِ	3	U+06AA, U+0650	ARABIC LETTER SWASH KAF, ARABIC KASRA
گ	4893	U+06AF	ARABIC LETTER GAF
گَ	2	U+06AF, U+064E	ARABIC LETTER GAF, ARABIC FATHA
ڱ	271	U+06B1	ARABIC LETTER NGOEH
ڳ	2810	U+06B3	ARABIC LETTER GUEH
ڳُ	7	U+06B3, U+064F	ARABIC LETTER GUEH, ARABIC DAMMA
ل	14978	U+0644	ARABIC LETTER LAM
لُ	3	U+0644, U+064F	ARABIC LETTER LAM, ARABIC DAMMA
لِ	10	U+0644, U+0650	ARABIC LETTER LAM, ARABIC KASRA
م	18250	U+0645	ARABIC LETTER MEEM
مَ	5	U+0645, U+064E	ARABIC LETTER MEEM, ARABIC FATHA
مُ	57	U+0645, U+064F	ARABIC LETTER MEEM, ARABIC DAMMA
مِ	1	U+0645, U+0650	ARABIC LETTER MEEM, ARABIC KASRA
۾	3381	U+06FE	ARABIC SIGN SINDHI POSTPOSITION MEN
ن	72574	U+0646	ARABIC LETTER NOON
نَ	11	U+0646, U+064E	ARABIC LETTER NOON, ARABIC FATHA
نُ	5	U+0646, U+064F	ARABIC LETTER NOON, ARABIC DAMMA
نِ	13	U+0646, U+0650	ARABIC LETTER NOON, ARABIC KASRA
ڻ	8096	U+06BB	ARABIC LETTER RNOON
ھ	46495	U+06BE	ARABIC LETTER HEH DOACHASHMEE
ھَ	2	U+06BE, U+064E	ARABIC LETTER HEH DOACHASHMEE, ARABIC FATHA
ھُ	73	U+06BE, U+064F	ARABIC LETTER HEH DOACHASHMEE, ARABIC DAMMA
ھِ	4	U+06BE, U+0650	ARABIC LETTER HEH DOACHASHMEE, ARABIC KASRA
ہ	14715	U+06C1	ARABIC LETTER HEH GOAL
و	58085	U+0648	ARABIC LETTER WAW
وَ	92	U+0648, U+064E	ARABIC LETTER WAW, ARABIC FATHA
وِ	5	U+0648, U+0650	ARABIC LETTER WAW, ARABIC KASRA
ي	94265	U+064A	ARABIC LETTER YEH
يُ	6	U+064A, U+064F	ARABIC LETTER YEH, ARABIC DAMMA
يٰ	1995	U+064A, U+0670	ARABIC LETTER YEH, ARABIC LETTER SUPERSCRIPT ALEF
