Grapheme	GraphFrequency	WordFrequency	Difference
(	14	14	0
)	14	14	0
*	1690	1690	0
,	10482	10482	0
;	11	11	0
?	906	906	0
[	33	33	0
]	33	33	0
»	1790	1790	0
Ò	129	129	0
Ó	1063	1063	0
‹	263	263	0
›	263	263	0
!	264	263	1
:	2276	2275	1
«	1987	1986	1
.	12821	12819	2
Á	1181	1177	4
Ũ	110	33	77
Ĩ	643	526	117
O	1439	1308	131
À	320	140	180
ǹ	782	211	571
ũ	3084	929	2155
ò	4287	1420	2867
ĩ	6866	2781	4085
ù	4993	67	4926
è	6895	306	6589
ó	14769	2738	12031
à	20808	5667	15141
ì	21096	714	20382
á	31222	9762	21460
o	40906	8075	32831
a	70220	3467	66753
