Grapheme	GraphFrequency	WordFrequency	Difference
!	2082	2082	0
'	3	3	0
(	205	205	0
)	209	209	0
,	17143	17143	0
:	2359	2359	0
;	747	747	0
?	1081	1081	0
«	2257	2257	0
—	3	3	0
‘	1	1	0
“	379	379	0
”	376	376	0
…	35	35	0
8	2	1	1
»	2240	2238	2
4	5	1	4
2	7	1	6
6	7	1	6
È	190	184	6
.	8845	8838	7
1	9	1	8
O	242	36	206
è	2369	1879	490
E	1526	619	907
I	1386	152	1234
A	1606	138	1468
P	2373	1	2372
’	2513	76	2437
à	2549	2	2547
S	3110	1	3109
b	7174	1	7173
m	22161	2	22159
d	34966	1	34965
c	41620	1	41619
a	94076	3373	90703
o	95321	338	94983
i	100405	2008	98397
e	111097	5723	105374
