Grapheme	GraphFrequency	WordFrequency	Difference
!	3734	3734	0
'	59	59	0
(	154	154	0
)	159	159	0
*	50	50	0
.	3468	3468	0
4	1	1	0
:	2294	2294	0
;	1749	1749	0
?	973	973	0
[	2	2	0
]	2	2	0
§	1	1	0
«	20	20	0
®	5	5	0
»	19	19	0
—	4	4	0
“	1	1	0
„	1	1	0
,	18133	18132	1
Y	3	1	2
-	73	40	33
y	249	2	247
O	355	9	346
R	565	1	564
K	1341	1	1340
ä	2808	1	2807
E	4009	3	4006
f	7987	1	7986
w	13053	2	13051
o	14838	34	14804
m	16937	1	16936
l	20814	6	20808
c	22491	1	22490
a	41467	1	41466
t	43728	1	43727
d	46895	1	46894
s	50167	2	50165
r	57208	1	57207
i	60225	1	60224
e	137342	4	137338
