Grapheme	GraphFrequency	WordFrequency	Difference
(	28	28	0
,	11071	11071	0
-	16	16	0
.	12037	12037	0
?	1035	1035	0
[	91	91	0
]	91	91	0
‘	458	458	0
“	1894	1894	0
「	4	4	0
」	4	4	0
【	4	4	0
】	4	4	0
뗄	6	6	0
및	5	5	0
밴	5	5	0
뵐	2	2	0
빙	1	1	0
뺀	1	1	0
짠	9	9	0
펼	2	2	0
푹	1	1	0
흰	18	18	0
)	28	27	1
댄	9	8	1
벤	3	2	1
쉴	6	5	1
쏠	2	1	1
쑥	2	1	1
쓴	15	14	1
웬	3	2	1
찰	2	1	1
칸	4	3	1
!	168	166	2
꼭	13	11	2
댈	3	1	2
싼	3	1	2
’	458	455	3
갓	7	4	3
덜	7	4	3
셀	5	2	3
쉰	5	2	3
”	1882	1878	4
꿀	5	1	4
맨	17	13	4
뭇	10	6	4
뿔	10	6	4
즉	5	1	4
닻	7	1	6
옛	21	15	6
넷	9	2	7
딴	13	6	7
잎	8	1	7
왜	41	33	8
닢	11	2	9
좀	25	16	9
검	11	1	10
꽃	12	2	10
룻	11	1	10
삶	12	1	11
욥	12	1	11
현	12	1	11
빈	19	7	12
짜	14	2	12
흙	14	2	12
뜰	17	4	13
센	15	1	14
큰	249	235	14
될	154	139	15
겁	19	2	17
넉	19	1	18
년	40	22	18
둔	32	14	18
흠	23	5	18
쓸	37	18	19
털	21	2	19
곡	24	1	23
낼	30	7	23
셈	24	1	23
펴	24	1	23
셋	29	5	24
값	26	1	25
탐	30	1	29
곧	320	290	30
딸	33	1	32
볼	77	43	34
글	37	1	36
칼	37	1	36
등	41	2	39
설	43	4	39
긴	42	2	40
술	44	3	41
칠	51	10	41
첫	67	25	42
곁	47	1	46
낮	53	5	48
낸	56	8	48
빼	52	2	50
씨	52	2	50
탄	70	14	56
팔	61	1	60
떼	63	2	61
책	62	1	61
별	66	2	64
끝	71	5	66
잘	119	53	66
롯	71	4	67
밤	75	7	68
돈	71	2	69
뿐	73	4	69
본	124	54	70
잔	72	1	71
석	80	7	73
채	79	6	73
강	88	13	75
몇	117	42	75
준	111	33	78
빵	98	18	80
풀	86	2	84
밀	92	6	86
벌	92	2	90
써	123	32	91
빛	101	9	92
번	138	43	95
줄	184	89	95
섬	102	4	98
쪽	104	3	101
삼	109	5	104
반	112	3	109
찬	114	5	109
파	222	113	109
순	111	1	110
또	582	470	112
힘	118	2	116
걸	122	2	120
움	123	1	122
된	257	133	124
침	127	1	126
밖	130	1	129
먼	153	22	131
단	147	14	133
옷	135	2	133
둘	154	20	134
왕	151	16	135
육	138	3	135
산	155	18	137
막	150	8	142
체	147	1	146
발	191	40	151
용	161	3	158
쳐	162	4	158
질	160	1	159
눈	194	30	164
병	173	6	167
참	200	25	175
개	178	1	177
차	183	6	177
피	190	8	182
갈	228	43	185
곳	200	11	189
약	199	6	193
악	205	1	204
온	388	184	204
양	230	20	210
올	274	60	214
길	227	9	218
새	279	52	227
백	248	16	232
판	235	2	233
몸	249	12	237
져	241	1	240
교	244	1	243
저	288	33	255
땅	292	35	257
타	263	4	259
터	268	1	267
간	274	2	272
달	284	11	273
귀	282	3	279
난	316	36	280
앞	298	4	294
천	306	8	298
배	316	17	299
네	543	243	300
형	313	1	312
열	337	20	317
집	361	35	326
종	351	16	335
매	339	1	338
각	402	45	357
돌	371	14	357
베	367	1	366
죄	395	27	368
손	372	2	370
금	392	8	384
늘	414	22	392
날	451	43	408
선	430	6	424
더	674	236	438
진	451	6	445
불	465	16	449
울	461	2	459
명	471	3	468
속	536	4	532
며	551	2	549
알	571	16	555
할	786	217	569
영	574	2	572
못	607	26	581
상	651	2	649
전	655	1	654
살	703	32	671
문	703	12	691
야	741	18	723
물	745	17	728
요	799	15	784
만	813	8	805
안	870	34	836
해	976	68	908
두	1074	159	915
성	942	19	923
세	973	44	929
인	1022	4	1018
든	1039	5	1034
십	1120	1	1119
바	1210	25	1185
와	1578	349	1229
제	1281	33	1248
때	1321	4	1317
입	1569	1	1568
데	1589	8	1581
너	1596	5	1591
일	1739	22	1717
과	1856	126	1730
오	1768	3	1765
신	1788	6	1782
대	1790	2	1788
한	2683	563	2120
내	2665	487	2178
분	2314	35	2279
주	2541	151	2390
수	2838	390	2448
예	2581	15	2566
님	2639	18	2621
께	2938	230	2708
라	3103	2	3101
시	3423	1	3422
말	3475	29	3446
자	3477	8	3469
도	3849	57	3792
여	3996	4	3992
를	4580	518	4062
의	4884	660	4224
람	4237	2	4235
것	4574	56	4518
아	4744	39	4705
로	4881	112	4769
리	5110	1	5109
은	5517	216	5301
지	5465	9	5456
사	6082	2	6080
나	6877	57	6820
들	6853	2	6851
고	6989	23	6966
가	7462	388	7074
서	7930	79	7851
그	10072	2023	8049
을	9368	163	9205
는	9648	259	9389
에	9859	209	9650
이	13096	1313	11783
다	13487	226	13261
