Grapheme	GraphFrequency	WordFrequency	Difference
!	728	728	0
'	67	67	0
(	192	192	0
)	191	191	0
.	15453	15453	0
:	726	726	0
;	567	567	0
?	922	922	0
[	9	9	0
]	9	9	0
—	443	443	0
‘	245	245	0
’	200	200	0
“	2842	2842	0
”	2223	2223	0
,	23598	23542	56
2	86	1	85
0	101	4	97
-	121	3	118
J	3197	2	3195
I	3327	1	3326
b	3438	1	3437
U	3575	12	3563
A	4242	193	4049
O	4639	105	4534
G	4989	1	4988
E	9792	5	9787
y	15545	1	15544
f	21105	1	21104
i	76155	1	76154
k	76931	1	76930
o	77460	2	77458
s	82266	2	82264
u	97839	168	97671
e	100931	157	100774
a	170903	321	170582
