Grapheme	GraphFrequency	WordFrequency	Difference
(	27	27	0
)	27	27	0
,	11918	11918	0
.	3666	3666	0
:	7257	7257	0
«	2294	2294	0
»	2269	2269	0
՝	2211	2211	0
Է	21	1	20
-	123	63	60
՚	300	5	295
՞	916	141	775
Ի	897	3	894
Յ	1575	1	1574
՛	2324	460	1864
ձ	3368	1	3367
զ	3700	1	3699
չ	5041	1	5040
վ	6537	1	6536
ղ	6689	2	6687
հ	7743	1	7742
լ	8393	5	8388
ք	9839	2	9837
ը	10116	2	10114
է	13691	1998	11693
ց	15764	3	15761
մ	19452	3	19449
ս	20395	5	20390
ւ	32420	4	32416
ի	36547	53	36494
ր	48878	3	48875
ն	51638	5	51633
