Grapheme	GraphFrequency	WordFrequency	Difference
!	717	717	0
(	116	116	0
)	116	116	0
.	15954	15954	0
:	382	382	0
;	109	109	0
?	845	845	0
‘	422	422	0
“	2348	2348	0
”	1901	1901	0
…	3	3	0
—	311	303	8
,	8751	8725	26
2	39	1	38
O	344	13	331
I	4129	2893	1236
’	2339	494	1845
A	2041	130	1911
a	59983	2277	57706
